symbol,sector,industry,price
LSCC,Electronic Technology,Semiconductors,
NVG,Miscellaneous,Investment Trusts/Mutual Funds,
OFG,Finance,Major Banks,
CPAC,Non-Energy Minerals,Construction Materials,
FRPH,Finance,Real Estate Development,
WOR,Non-Energy Minerals,Steel,
FNLC,Finance,Major Banks,
CNP,Utilities,Electric Utilities,
GNL,Finance,Real Estate Investment Trusts,
HTR,Miscellaneous,Investment Trusts/Mutual Funds,
AGX,Industrial Services,Engineering & Construction,
FPRX,Health Technology,Biotechnology,
CHMI,Finance,Real Estate Investment Trusts,
ADSK,Technology Services,Packaged Software,
NPD,Commercial Services,Miscellaneous Commercial Services,
TUP,Producer Manufacturing,Miscellaneous Manufacturing,
PNR,Producer Manufacturing,Miscellaneous Manufacturing,
KMF,Miscellaneous,Investment Trusts/Mutual Funds,
MIK,Retail Trade,Specialty Stores,
CPG,Energy Minerals,Oil & Gas Production,
JOBS,Technology Services,Internet Software/Services,
RMD,Health Technology,Medical Specialties,
IRE,Utilities,Electric Utilities,
AMX,Communications,Wireless Telecommunications,
PG,Consumer Non-Durables,Household/Personal Care,
WLT,Producer Manufacturing,Trucks/Construction/Farm Machinery,
ISBC,Finance,Savings Banks,
CYS,Finance,Investment Managers,
CTHR,Consumer Durables,Other Consumer Specialties,
FIVE,Retail Trade,Discount Stores,
DISCB,Consumer Services,Cable/Satellite TV,
IGT,Consumer Services,Casinos/Gaming,
XHR,Finance,Real Estate Investment Trusts,
CMU,Miscellaneous,Investment Trusts/Mutual Funds,
NXST,Consumer Services,Broadcasting,
CHEF,Distribution Services,Food Distributors,
DHG,Consumer Services,Hotels/Resorts/Cruise lines,
NXN,Miscellaneous,Investment Trusts/Mutual Funds,
ESRT,Finance,Real Estate Investment Trusts,
MSL,Process Industries,Agricultural Commodities/Milling,
SXL,Consumer Services,Broadcasting,
WTFCM,Finance,Regional Banks,
IBCP,Finance,Regional Banks,
NRP,Energy Minerals,Coal,
LOCO,Consumer Services,Restaurants,
SPLK,Technology Services,Information Technology Services,
ZTS,Health Technology,Pharmaceuticals: Generic,
ALLY,Finance,Regional Banks,
NMFC,Finance,Investment Managers,
SHW,Process Industries,Industrial Specialties,
CMCSA,Consumer Services,Cable/Satellite TV,
SHBI,Finance,Regional Banks,
AROW,Finance,Major Banks,
BXC,Distribution Services,Wholesale Distributors,
SYMC,Communications,Wireless Telecommunications,
TOWR,Communications,Specialty Telecommunications,
ATRA,Health Technology,Biotechnology,
OLED,Electronic Technology,Electronic Components,
VVR,Miscellaneous,Investment Trusts/Mutual Funds,
EXG,Miscellaneous,Investment Trusts/Mutual Funds,
MTW,Producer Manufacturing,Trucks/Construction/Farm Machinery,
VTA,Miscellaneous,Investment Trusts/Mutual Funds,
OPB,Utilities,Electric Utilities,
BLKB,Technology Services,Packaged Software,
MUC,Miscellaneous,Investment Trusts/Mutual Funds,
TCB,Finance,Major Banks,
FSD,Miscellaneous,Investment Trusts/Mutual Funds,
HCHC,Producer Manufacturing,Metal Fabrication,
KTH,Finance,Finance/Rental/Leasing,
JST,Producer Manufacturing,Auto Parts: OEM,
CRL,Commercial Services,Miscellaneous Commercial Services,
APC,Electronic Technology,Telecommunications Equipment,
ARCB,Transportation,Trucking,
SMTC,Electronic Technology,Semiconductors,
TRIB,Health Technology,Medical Specialties,
METR,Industrial Services,Oil & Gas Pipelines,
GS,Finance,Investment Banks/Brokers,
SAR,Finance,Investment Managers,
UVE,Finance,Property/Casualty Insurance,
BRKS,Electronic Technology,Electronic Production Equipment,
IFN,Miscellaneous,Investment Trusts/Mutual Funds,
CL,Consumer Non-Durables,Household/Personal Care,
GRFS,Health Technology,Pharmaceuticals: Major,
NX,Producer Manufacturing,Building Products,
ANGI,Technology Services,Internet Software/Services,
MCN,Miscellaneous,Investment Trusts/Mutual Funds,
